yyyy-mm-dd hh:mm:ss,W/m²
2020-06-10 23:00:00,0
2020-06-10 23:15:00,0
2020-06-10 23:30:00,0
2020-06-10 23:45:00,0
2020-06-11 00:00:00,0
2020-06-11 00:15:00,0
2020-06-11 00:30:00,0
2020-06-11 00:45:00,0
2020-06-11 01:00:00,0
2020-06-11 01:15:00,0
2020-06-11 01:30:00,0
2020-06-11 01:45:00,0
2020-06-11 02:00:00,0
2020-06-11 02:15:00,0
2020-06-11 02:30:00,0
2020-06-11 02:45:00,0
2020-06-11 03:00:00,0
2020-06-11 03:15:00,0
2020-06-11 03:30:00,0
2020-06-11 03:45:00,0
2020-06-11 04:00:00,0
2020-06-11 04:15:00,0
2020-06-11 04:30:00,0
2020-06-11 04:45:00,0
2020-06-11 05:00:00,1.2
2020-06-11 05:15:00,3.8666666666666667
2020-06-11 05:30:00,5.333333333333333
2020-06-11 05:45:00,4.8
2020-06-11 06:00:00,7.8
2020-06-11 06:15:00,14.333333333333334
2020-06-11 06:30:00,16
2020-06-11 06:45:00,27.333333333333332
2020-06-11 07:00:00,48.86666666666667
2020-06-11 07:15:00,24.733333333333334
2020-06-11 07:30:00,50
2020-06-11 07:45:00,54.266666666666666
2020-06-11 08:00:00,61.93333333333333
2020-06-11 08:15:00,41.666666666666664
2020-06-11 08:30:00,73.8
2020-06-11 08:45:00,166.53333333333333
2020-06-11 09:00:00,154.26666666666668
2020-06-11 09:15:00,119.26666666666667
2020-06-11 09:30:00,98.13333333333334
2020-06-11 09:45:00,136.8
2020-06-11 10:00:00,123.53333333333333
2020-06-11 10:15:00,81.53333333333333
2020-06-11 10:30:00,63.13333333333333
2020-06-11 10:45:00,113.93333333333334
2020-06-11 11:00:00,77.93333333333334
2020-06-11 11:15:00,74.33333333333333
2020-06-11 11:30:00,83
2020-06-11 11:45:00,71.53333333333333
2020-06-11 12:00:00,71.33333333333333
2020-06-11 12:15:00,82.73333333333333
2020-06-11 12:30:00,86.4
2020-06-11 12:45:00,150.4
2020-06-11 13:00:00,128.33333333333334
2020-06-11 13:15:00,89.33333333333333
2020-06-11 13:30:00,109.73333333333333
2020-06-11 13:45:00,172.06666666666666
2020-06-11 14:00:00,185.33333333333334
2020-06-11 14:15:00,212.46666666666667
2020-06-11 14:30:00,133.33333333333334
2020-06-11 14:45:00,108.66666666666667
2020-06-11 15:00:00,121.26666666666667
2020-06-11 15:15:00,88.2
2020-06-11 15:30:00,70.13333333333334
2020-06-11 15:45:00,59.8
2020-06-11 16:00:00,82.4
2020-06-11 16:15:00,60.4
2020-06-11 16:30:00,140.06666666666666
2020-06-11 16:45:00,179.8
2020-06-11 17:00:00,152.93333333333334
2020-06-11 17:15:00,82.2
2020-06-11 17:30:00,167.93333333333334
2020-06-11 17:45:00,331.6666666666667
2020-06-11 18:00:00,239.6
2020-06-11 18:15:00,225.73333333333332
2020-06-11 18:30:00,290.6
2020-06-11 18:45:00,343.3333333333333
2020-06-11 19:00:00,188.73333333333332
2020-06-11 19:15:00,86.4
2020-06-11 19:30:00,149.73333333333332
2020-06-11 19:45:00,123.93333333333334
2020-06-11 20:00:00,64.6
2020-06-11 20:15:00,40.46666666666667
2020-06-11 20:30:00,36.46666666666667
2020-06-11 20:45:00,17.2
2020-06-11 21:00:00,9.333333333333334
2020-06-11 21:15:00,3.6
2020-06-11 21:30:00,0
2020-06-11 21:45:00,0
2020-06-11 22:00:00,0
2020-06-11 22:15:00,0
